"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol","mgi_description"
"17","ENSMUSG00000006204",44.6796567829214,1.96252468110193,0.496267268839821,3.954572070993,7.6671757865707e-05,0.0159521703756535,"Cdcp3","CUB domain containing protein 3"
"165","ENSMUSG00000067889",36.4694174807085,1.88068765359385,0.434206968667497,4.33131614484526,1.48220683523442e-05,0.00472856918369453,"Sptbn2","spectrin beta, non-erythrocytic 2"
"12","ENSMUSG00000005089",49.9114524855429,1.77315737110288,0.437042366294179,4.0571750197539,4.96698606160529e-05,0.0115009761129686,"Slc1a2","solute carrier family 1 (glial high affinity glutamate transporter), member 2"
"162","ENSMUSG00000063239",16.8789817464988,1.70210831775691,0.464141421501422,3.66721916835363,0.000245202616461227,0.0360025306224955,"Grm4","glutamate receptor, metabotropic 4"
"148","ENSMUSG00000051279",1626.13699669994,1.17943697025984,0.234436789529245,5.03093807344904,4.88085792809738e-07,0.000412174096563329,"Gdf6","growth differentiation factor 6"
"65","ENSMUSG00000026062",37.4877276445384,1.1326032689053,0.339230995610251,3.33873756691318,0.000841600321703088,0.0779484788281905,"Slc9a2","solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"90","ENSMUSG00000030351",239.493172758166,1.09218117618216,0.292382354899979,3.73545515958303,0.000187375966967788,0.0302243750762872,"Tspan11","tetraspanin 11"
"182","ENSMUSG00000111551",288.521606629718,1.00194315628526,0.288881685533515,3.46835125402582,0.000523662333983926,0.0582128159134554,"Gm48128","predicted gene, 48128"
"43","ENSMUSG00000022382",83.1866547272567,0.925434001970776,0.274849941130367,3.36705184714529,0.000759764028194163,0.0752218785431407,"Wnt7b","wingless-type MMTV integration site family, member 7B"
"115","ENSMUSG00000037624",460.802225155745,0.882050248652155,0.248203465357395,3.55373865301222,0.000379796430058695,0.0474118047819359,"Kcnk2","potassium channel, subfamily K, member 2"
"52","ENSMUSG00000024593",1790.07352358511,0.822663294056844,0.237862777319493,3.45856255160032,0.000543066152412806,0.0590625582124109,"Megf10","multiple EGF-like-domains 10"
"54","ENSMUSG00000024598",224.484368829628,0.817677252259699,0.18630631762536,4.38888633880872,1.13932592213474e-05,0.00408904073454159,"Fbn2","fibrillin 2"
"132","ENSMUSG00000042607",1590.85800586144,0.80316658665485,0.163090952216435,4.9246544688082,8.45095494369593e-07,0.00057772337700809,"Asb4","ankyrin repeat and SOCS box-containing 4"
"118","ENSMUSG00000038128",70.14058535298,0.786895430818258,0.222659981090673,3.53406762617936,0.000409216361555659,0.0497856786990936,"Camk4","calcium/calmodulin-dependent protein kinase IV"
"159","ENSMUSG00000060548",1282.76937497049,0.783579874007512,0.233892609141535,3.35016945120035,0.000807621376648859,0.07599219137713,"Tnfrsf19","tumor necrosis factor receptor superfamily, member 19"
"134","ENSMUSG00000044037",1924.04871094329,0.696431377177193,0.21509788363493,3.23774165235021,0.00120479856775117,0.097169035048516,"Als2cl","ALS2 C-terminal like"
"180","ENSMUSG00000102222",736.011370978466,0.674672723884904,0.172507566124406,3.91097468384867,9.19244081213765e-05,0.0185868563801476,"Pcdhga10","protocadherin gamma subfamily A, 10"
"11","ENSMUSG00000003545",80.017059724829,0.667019461179204,0.202002693959948,3.30203250314798,0.000959869466536846,0.0850610250716232,"Fosb","FBJ osteosarcoma oncogene B"
"25","ENSMUSG00000016128",1178.74976758362,0.649090567243291,0.123009570354929,5.2767485112778,1.31496149306291e-07,0.000188775871944111,"Stard13","StAR-related lipid transfer (START) domain containing 13"
"1","ENSMUSG00000000142",463.513296775893,0.631026189232075,0.18615005312617,3.38987917883845,0.000699234338452375,0.0717014868773021,"Axin2","axin 2"
"81","ENSMUSG00000028364",28289.326710039,0.601303975482647,0.163683884210048,3.67356858853021,0.000239186434918775,0.0357683381218118,"Tnc","tenascin C"
"178","ENSMUSG00000092035",598.519557240411,0.581587895594589,0.126945066256441,4.58141393553435,4.61842668125706e-06,0.00214082120423262,"Peg10","paternally expressed 10"
