"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol","mgi_description"
"30","ENSMUSG00000021708",26.1221723003283,1.78207016296369,0.534567928925008,3.33366456634866,0.00085709952279872,0.0877098511664023,"Rasgrf2","RAS protein-specific guanine nucleotide-releasing factor 2"
"118","ENSMUSG00000054920",46.688406546753,1.31351111495752,0.334715896958144,3.924256740999,8.69979170250768e-05,0.0192650469372908,"Klhl5","kelch-like 5"
"117","ENSMUSG00000051279",1619.69027915017,1.19463655788107,0.23861445804693,5.00655562810076,5.54126525645767e-07,0.000520549788418551,"Gdf6","growth differentiation factor 6"
"39","ENSMUSG00000024598",225.004379109497,0.818074667088815,0.155431791115232,5.26323901448399,1.4153937715452e-07,0.000238989238325408,"Fbn2","fibrillin 2"
"105","ENSMUSG00000042607",1586.67717423676,0.778807067389896,0.164117472133287,4.74542446496735,2.08069549160943e-06,0.00122200150872436,"Asb4","ankyrin repeat and SOCS box-containing 4"
"11","ENSMUSG00000006362",57.7829692844381,0.777742286600604,0.236066985862812,3.29458303437898,0.000985678186649206,0.0969106651296894,"Cbfa2t3","CBFA2/RUNX1 translocation partner 3"
"34","ENSMUSG00000022686",397.472424134752,0.697097629394601,0.154501044818584,4.51192825403307,6.42409199095205e-06,0.00271176983168064,"B3gnt5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"78","ENSMUSG00000035024",253.902608191641,0.670875993135545,0.17618218372255,3.80785377363715,0.000140178117755989,0.0255881893871338,"Ncapd3","non-SMC condensin II complex, subunit D3"
"58","ENSMUSG00000028364",28174.3313236438,0.568832354811004,0.157432998624522,3.61317106185388,0.000302475007782497,0.0434663021821911,"Tnc","tenascin C"
"100","ENSMUSG00000040809",9887.4668832418,0.54165688316765,0.108365810606106,4.99841121602915,5.78046107956638e-07,0.000520549788418551,"Chil3","chitinase-like 3"
"142","ENSMUSG00000092035",595.682935219832,0.535467381469578,0.133661988780221,4.006130586236,6.17215343691553e-05,0.0148881158260455,"Peg10","paternally expressed 10"
"17","ENSMUSG00000015957",374.76671560705,0.529098087605999,0.139176818819526,3.8016250988758,0.000143750126863919,0.0257124374797421,"Wnt11","wingless-type MMTV integration site family, member 11"
"75","ENSMUSG00000034394",392.239037362452,0.468926646012719,0.136590127306591,3.43309326420176,0.000596736793176523,0.0694889707088661,"Lif","leukemia inhibitory factor"
"44","ENSMUSG00000025856",3563.77440418678,0.440132898642637,0.117232127499673,3.75437099052787,0.000173777319874923,0.0300946671393648,"Pdgfa","platelet derived growth factor, alpha"
"91","ENSMUSG00000038718",594.402300607103,0.438785572032737,0.0913376679458633,4.80399359761199,1.55531804385789e-06,0.00105046180682162,"Pbx3","pre B cell leukemia homeobox 3"
"52","ENSMUSG00000027134",473.07071856818,0.437558384793046,0.119208305652848,3.67053606203648,0.000242042316751333,0.037580547295138,"Lpcat4","lysophosphatidylcholine acyltransferase 4"
"132","ENSMUSG00000068394",275.959762085027,0.430443395037132,0.128588322364246,3.34745322998954,0.000815577485341386,0.0870480237401032,"Cep152","centrosomal protein 152"
"110","ENSMUSG00000044548",344.519682262572,0.423876370930516,0.0985832574659428,4.29967909182703,1.71045605328384e-05,0.00513440897061292,"Dact1","dishevelled-binding antagonist of beta-catenin 1"
"47","ENSMUSG00000026201",568.60537716201,0.410316133129938,0.0923404943368512,4.44351241648259,8.85020463799358e-06,0.00359697003077554,"Stk16","serine/threonine kinase 16"
"28","ENSMUSG00000021557",1476.02003682927,0.408055128380527,0.0946449815395496,4.31142910847325,1.62202779340117e-05,0.00498057267783777,"Agtpbp1","ATP/GTP binding protein 1"
"103","ENSMUSG00000042225",1155.85423798122,0.400237654484451,0.0925056447862492,4.32662953065482,1.51408297733111e-05,0.00486957925185443,"Ammecr1","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"94","ENSMUSG00000039153",2313.50462371116,0.399684349478086,0.0819279643172973,4.87848505462867,1.0690376272127e-06,0.000760029487809953,"Runx2","runt related transcription factor 2"
"19","ENSMUSG00000019699",1309.91898061767,0.385614696740559,0.108193132049885,3.56413285607412,0.000365061028878828,0.049312443780952,"Akt3","thymoma viral proto-oncogene 3"
"86","ENSMUSG00000038143",1432.31979409999,0.385501131439014,0.116759132781762,3.3016786118099,0.000961081226174526,0.0961650755790037,"Stox2","storkhead box 2"
"80","ENSMUSG00000035914",3070.5244162614,0.382798997560045,0.111338955958311,3.43814071422925,0.000585723241149917,0.0687995612300268,"Cd276","CD276 antigen"
"85","ENSMUSG00000037656",2060.10228791306,0.361266356115049,0.0914897701284092,3.94870765997115,7.8574237509618e-05,0.0179895050894902,"Slc20a2","solute carrier family 20, member 2"
"60","ENSMUSG00000028402",2898.45793613843,0.340098454265156,0.0963987909511283,3.52803651279794,0.000418654403929061,0.0543767662334014,"Mpdz","multiple PDZ domain protein"
"46","ENSMUSG00000026153",634.309936543255,0.339915528392184,0.0967104485619631,3.51477563641324,0.000440125660979355,0.0560869568727276,"Fam135a","family with sequence similarity 135, member A"
"14","ENSMUSG00000008575",1391.21119108454,0.339637094482987,0.0933193090630061,3.6395157432389,0.000273151238323281,0.0409969658585653,"Nfib","nuclear factor I/B"
"82","ENSMUSG00000037234",4282.27290049789,0.332728669925701,0.0793128574771557,4.19514162658351,2.72701139351788e-05,0.00783754678800841,"Hook3","hook microtubule tethering protein 3"
"23","ENSMUSG00000020422",16681.2357487457,0.329970629432591,0.0754848220909576,4.37135069398433,1.23480275645258e-05,0.00443147306049574,"Tns3","tensin 3"
"54","ENSMUSG00000027820",923.394736219054,0.328516813383041,0.0958132088559717,3.42872154377873,0.000606431366884472,0.0700143154177388,"Mme","membrane metallo endopeptidase"
"111","ENSMUSG00000045005",5133.81990724556,0.322248912294347,0.0747436749008415,4.31138705344442,1.62233637714585e-05,0.00498057267783777,"Fzd5","frizzled class receptor 5"
"59","ENSMUSG00000028399",13755.2383221504,0.319800464654371,0.0707418655904243,4.52066766949471,6.16448975447545e-06,0.00268612669688562,"Ptprd","protein tyrosine phosphatase, receptor type, D"
"20","ENSMUSG00000019823",1275.2446887461,0.29923813555644,0.0894762337659809,3.34433092410972,0.000824812876462485,0.0870480237401032,"Mical1","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"50","ENSMUSG00000026883",2948.50370065131,0.295716559856049,0.0851419326346541,3.47321878544824,0.000514255961170248,0.0632533382717571,"Dab2ip","disabled 2 interacting protein"
"88","ENSMUSG00000038241",3691.20062287587,0.293336517445018,0.0628230996613117,4.66924616942554,3.02306960745848e-06,0.00157060093298266,"Cep250","centrosomal protein 250"
