"","ensembl_gene_id","mgi_symbol","log2FC.MutDMSO.WtDMSO","log2FC.MutGSKJ4.MutDMSO"
"1","ENSMUSG00000001510","Dlx3",0.574340453036312,-0.677034896178019
"2","ENSMUSG00000002603","Tgfb1",0.126141169147006,-0.129153025925962
"3","ENSMUSG00000016918","Sulf1",-0.465566653273433,0.267410715053006
"4","ENSMUSG00000021464","Ror2",0.421927824766927,-0.599170732797163
"5","ENSMUSG00000021469","Msx2",0.57580119967908,-0.437457496023916
"6","ENSMUSG00000024232","Bambi",0.956696046840804,-0.665539511239217
"7","ENSMUSG00000027796","Smad9",0.716411693571154,-0.693434473661458
"8","ENSMUSG00000029096","Htra3",0.438119450478576,-0.57413170244407
"9","ENSMUSG00000029287","Tgfbr3",-0.186911725492762,-0.276073325903627
"10","ENSMUSG00000029755","Dlx5",0.365896332984013,-0.415635291336984
"11","ENSMUSG00000031548","Sfrp1",-0.928435760426504,0.259668313872535
"12","ENSMUSG00000034161","Scx",0.632115495663377,-0.539058613854796
"13","ENSMUSG00000037573","Tob1",0.501423914941896,-0.491572379425287
"14","ENSMUSG00000038418","Egr1",-0.400352102710123,0.708397129863947
"15","ENSMUSG00000038677","Scube3",0.824297970454148,-1.03528493440978
"16","ENSMUSG00000039153","Runx2",0.480740582221103,-0.495501394670538
"17","ENSMUSG00000039239","Tgfb2",0.632298605758285,-0.653219971201341
"18","ENSMUSG00000042275","Pelo",0.20328174224542,-0.244781824515336
"19","ENSMUSG00000049313","Sorl1",-1.67151636027505,1.61278276952194
