"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol","mgi_description"
"728","ENSMUSG00000049265",38.602606772417,6.21554687444972,1.06687454612748,5.82593979489975,5.6792088497426e-09,6.91102924925177e-07,"Kcnk3","potassium channel, subfamily K, member 3"
"29","ENSMUSG00000002944",109.704353623659,5.64456819525032,0.573000487977595,9.85089596550401,6.79356334136902e-23,3.93670820481522e-20,"Cd36","CD36 molecule"
"785","ENSMUSG00000061780",28.4787265855195,5.44048013784836,1.1315673712712,4.80791535349462,1.52512312567123e-06,9.56660995685219e-05,"Cfd","complement factor D (adipsin)"
"449","ENSMUSG00000030546",261.802877935539,4.40678772014455,0.312411394269071,14.1057202169429,3.50195643987413e-45,1.06538269792071e-41,"Plin1","perilipin 1"
"113","ENSMUSG00000018566",44.2957895043301,3.56925812239239,0.642606488159299,5.55434498119725,2.78654676478278e-08,2.89824680176424e-06,"Slc2a4","solute carrier family 2 (facilitated glucose transporter), member 4"
"739","ENSMUSG00000051855",273.435621225667,3.45460875521052,0.301765272212045,11.4479997313376,2.40634154378175e-30,2.6620700223891e-27,"Mest","mesoderm specific transcript"
"75","ENSMUSG00000010651",40.1891393898399,3.3461526889192,0.68444062415525,4.88888673586417,1.01407817374761e-06,6.78039411886519e-05,"Acaa1b","acetyl-Coenzyme A acyltransferase 1B"
"363","ENSMUSG00000027559",170.028963411844,3.20646687052936,0.347522957316763,9.22663324255352,2.79271891563464e-20,1.21373558872707e-17,"Car3","carbonic anhydrase 3"
"80","ENSMUSG00000012428",51.9208600984077,3.15379860659389,0.587763908546527,5.36575751034607,8.06101811845391e-08,7.78528011773537e-06,"Steap4","STEAP family member 4"
"458","ENSMUSG00000030882",24.206158158494,3.03371531241294,1.09961956206208,2.75887717632444,0.00580003297930423,0.0864430198886583,"Dnhd1","dynein heavy chain domain 1"
"689","ENSMUSG00000043531",16.0862493780953,3.00677079602247,1.02921866931056,2.92141105255759,0.00348449757265792,0.0590568954897969,"Sorcs1","sortilin-related VPS10 domain containing receptor 1"
"599","ENSMUSG00000038151",42.215613610856,2.97802625198932,0.653201748047854,4.55912168160815,5.1368003178237e-06,0.000270604861764488,"Prdm1","PR domain containing 1, with ZNF domain"
"227","ENSMUSG00000022878",342.086094995463,2.964912178193,0.262593051207359,11.2909011284222,1.45536844659965e-29,1.36233681743624e-26,"Adipoq","adiponectin, C1Q and collagen domain containing"
