"","mgi_symbol","LqLc","CqLc","CqCc","LqCc"
"1","1110059G10Rik",-0.256681386228502,NA,NA,NA
"2","1500015O10Rik",NA,NA,NA,-1.31927853614118
"3","2410089E03Rik",NA,NA,NA,0.284970757886706
"4","7530428D23Rik",NA,NA,NA,-1.47760054535851
"5","Abat",-0.577495056053825,-0.532523757894069,-0.561902510717366,-0.55336636056926
"6","Adamtsl1",-1.33715208542491,-1.43669503399247,NA,NA
"7","Adgrb1",NA,NA,NA,-1.25474717242284
"8","Adgrl1",NA,NA,0.534327946291389,0.602124650117594
"9","Adrb1",-0.900056686701458,NA,NA,NA
"10","Agtpbp1",NA,0.408055128380527,0.495269046036834,NA
"11","Ahcyl1",0.240668560643109,NA,NA,0.254200746618431
"12","AI854703",NA,NA,NA,1.16286660004171
"13","Akr1e1",-0.50711079949532,-0.519690531373478,NA,NA
"14","Akt3",0.345242374125281,0.385614696740559,NA,0.290325176049046
"15","Aldh18a1",NA,NA,0.217295342333523,NA
"16","Aldh9a1",-0.24364696534531,-0.227763551526193,-0.208642874816274,NA
"17","Als2cl",0.595768764890678,NA,0.696431377177193,0.613738350953098
"18","Ammecr1",0.415313646649167,0.400237654484451,0.409493676089824,0.411722440187323
"19","Ankrd12",0.256658034210517,NA,NA,NA
"20","Ankrd27",NA,NA,0.177100275343277,0.185009767393399
"21","Ankrd28",NA,NA,0.33583960949366,NA
"22","Anp32a",-0.148927922745228,-0.17507760493889,NA,NA
"23","Arhgef12",NA,NA,0.234557348214481,0.227482047386127
"24","Arid1b",NA,NA,NA,0.278844107403718
"25","Arih1",NA,NA,0.15270945915648,0.137815730994352
"26","Arl6ip1",-0.155292305386253,NA,NA,NA
"27","Arrdc3",-0.438503774470558,-0.45432410029221,-0.527375646708059,-0.5606335086228
"28","Asb4",0.807112075952303,0.778807067389896,0.80316658665485,0.779996211876632
"29","Atf3",NA,NA,0.373353134096124,NA
"30","Atp8b5",-2.30352979716137,NA,NA,NA
"31","Axin2",0.535863983576363,NA,0.631026189232075,0.656411065581748
"32","B3gnt5",NA,0.697097629394601,NA,NA
"33","Bcap29",-0.214937455430694,NA,NA,NA
"34","Bmp2",0.620984743340626,NA,NA,NA
"35","Bptf",0.184548108681894,NA,NA,NA
"36","C1ra",-0.346327696876637,-0.299158878146695,-0.340059954137344,-0.346869326926553
"37","C3",-0.846156229983922,NA,NA,NA
"38","Camk4",NA,NA,0.786895430818258,NA
"39","Cbfa2t3",NA,0.777742286600604,NA,NA
"40","Cbln1",-0.946044951527354,-0.927488104525779,-1.02331938468492,-0.98759943554785
"41","Ccdc3",-0.897647679841118,-0.906890175831287,-0.915523061567104,-0.932551237442147
"42","Cd276",0.417242060225178,0.382798997560045,0.485560666779892,0.423251042276567
"43","Cd300e",-0.987683398853576,-1.01043965515741,-0.994106639021184,-0.999818099194345
"44","Cdcp3",NA,NA,1.96252468110193,NA
"45","Cdk6",NA,0.224984363417617,NA,NA
"46","Cdkn2a",-0.323041660021613,-0.381786753389032,-0.349520917496304,-0.337476156260115
"47","Cep152",NA,0.430443395037132,NA,NA
"48","Cep250",0.267830932061015,0.293336517445018,NA,NA
"49","Cfap157",NA,-0.923278293574734,NA,NA
"50","Cfap410",NA,-0.40612057161119,-0.397178754109131,NA
"51","Chil3",0.486385944619712,0.54165688316765,0.508328076763289,0.487388632850052
"52","Chrdl1",-1.14129297154923,-1.0232944646423,-1.11801098457651,-1.12782075931773
"53","Cldn11",-2.76278164324986,-2.54042722025445,-2.7278907963161,-2.71586308909805
