MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,BMP signaling pathway,happens in duct epithelial cell,,IMP,MGI:104738 ,J:190763 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of BMP signaling pathway,negatively regulates BMP signaling pathway,,IMP,MGI:104738 ,J:190763 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,BMP signaling pathway,,,IBA,PTN001147404 ,J:265628 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,BMP signaling pathway,,,ISO,Q04771 ,J:164563 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,BMP signaling pathway involved in heart development,,,IMP,,J:103532 
MGI:102806,Acvr2a,activin receptor IIA,2,,BMP signaling pathway,happens in smooth muscle cell,,IMP,,J:123381 
MGI:102806,Acvr2a,activin receptor IIA,2,,BMP signaling pathway,,,IMP,,J:229306 
MGI:102806,Acvr2a,activin receptor IIA,2,,BMP signaling pathway,,,ISO,P27037 ,J:123381 
MGI:102806,Acvr2a,activin receptor IIA,2,,BMP signaling pathway,,,ISO,P27037 ,J:164563 
MGI:87912,Acvr2b,activin receptor IIB,9,,BMP signaling pathway,,,ISO,Q13705 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,BMP signaling pathway,,,IBA,PTN001147404 ,J:265628 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,BMP signaling pathway,,,IMP,MGI:3604490 ,J:186473 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,BMP signaling pathway,,,ISO,P37023 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,positive regulation of BMP signaling pathway,,,IDA,,J:164086 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,positive regulation of BMP signaling pathway,,,ISO,P37023 ,J:164563 
MGI:105062,Amhr2,anti-Mullerian hormone type 2 receptor,15,,BMP signaling pathway,,,IBA,PTN001147423 ,J:265628 
MGI:109349,Atf2,activating transcription factor 2,2,,BMP signaling pathway,is a part of gene expression,,IMP,MGI:3842320 ,J:156376 
MGI:1915260,Bambi,BMP and activin membrane-bound inhibitor,18,,negative regulation of BMP signaling pathway,,,ISO,Q13145 ,J:164563 
MGI:5590788,Bmncr,bone marrow associated noncoding RNA,1,,BMP signaling pathway,,,IDA,,J:270992 
MGI:5590788,Bmncr,bone marrow associated noncoding RNA,1,,BMP signaling pathway,,,IMP,,J:270992 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,"happens in smooth muscle cell of the pulmonary artery,uses UniProtKB:P21274,is a part of negative regulation of smooth muscle cell proliferation",,IDA,,J:136168 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:146446 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:154664 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:160796 
