,x,
1,BMP9,Gdf2
2,BMP11,Gdf11
3,CHORDIN,
4,COCO,Dand5
5,DAN,Nbl1
6,GREMLIN1,
7,NOGGIN,
8,PRDC,Grem2
9,ALK1,Acvrl1
10,ALK2,Acvr1
11,ALK3,Bmpr1a
12,ALK6,Bmpr1b
13,BMPRII,Bmpr2
14,BETAGLYCAN,
15,DRAGON,Rgmb
16,ENDOGLIN,
17,HEMOJUVELIN,Hjv
18,SMAD8,Smad9
19,OSTERIX,Sp7
20,SMURF,
21,ENDOFIN,
22,FOLLISTATIN,
23,GREMLIN2,Grem2
24,HJV,
25,MIR675,
26,VXC2,
27,VXC2L,
28,CCN1,Ccna2
29,ELAPOR2,
30,VSIR,
31,DPP,Dspp
32,GBB,
33,MAD,Mxd1
34,MAV,Klhl2
35,PUT,
36,SAX,
37,SCW,
38,SHN,
39,TKV,
40,WIT,
41,NRM1,
42,IPCAT4,
