"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"111","ENSMUSG00000003418",209.487832490469,2.45829677495759,0.607184018147121,4.04868491509264,5.15062308502969e-05,0.00160396738486198,"St8sia6"
"79","ENSMUSG00000002565",72.6765265696142,2.28047339340798,0.830349126190908,2.74640307489608,0.00602526866506811,0.0402400820323137,"Scin"
"2982","ENSMUSG00000091055",241.56637926347,1.91563233361918,0.624331974269361,3.06829124979702,0.00215286682304862,0.0201074512720537,"Siglec15"
"336","ENSMUSG00000017737",43442.9524277397,1.90724081761109,0.58208590778005,3.2765624319697,0.00105079078444016,0.0124807652598448,"Mmp9"
"3030","ENSMUSG00000110457",66.0763268567643,1.88358313877165,0.543987735454292,3.46254706863684,0.000535088313998452,0.00787426516757033,"Gm45752"
"1036","ENSMUSG00000026950",19.4209023538228,1.83007944034883,0.767423090524895,2.38470729242341,0.0170927152278481,0.0828633013758552,"Neb"
"246","ENSMUSG00000011154",44.3200798646125,1.81675884812805,0.61337468007845,2.96190714604601,0.0030573997121791,0.0254243987014601,"Cfap161"
"750","ENSMUSG00000023964",1552.82086712221,1.81030805999561,0.497801232233481,3.63660823391961,0.000276251596142475,0.00501815402840925,"Calcr"
"2997","ENSMUSG00000094777",312.142721996134,1.80072907774087,0.609671072009862,2.95360754415415,0.00314083150599433,0.0258197880447676,"Hist1h2ap"
"2607","ENSMUSG00000054976",349.923024559303,1.75638523602194,0.582050498414306,3.01758222148576,0.00254799909052089,0.0225460812728227,"Nyap2"
"1922","ENSMUSG00000037995",19.9105325991001,1.71812280800658,0.550999332997474,3.11819398883821,0.00181962992626363,0.0179094029675667,"Igsf9"
"1111","ENSMUSG00000027670",766.936374558759,1.71070714837531,0.569731804271631,3.00265341613209,0.00267637037550597,0.0233494954713096,"Ocstamp"
"2538","ENSMUSG00000052336",35.862863961401,1.70556665528688,0.482143512226979,3.53746677500443,0.000403985009992147,0.00649750479012075,"Cx3cr1"
"1184","ENSMUSG00000028362",15.7422703634619,1.66904219290588,0.52565028891643,3.17519504525799,0.00149735817121105,0.0157182042091844,"Tnfsf8"
"2947","ENSMUSG00000079227",528.565151903082,1.66292711968895,0.401522683416488,4.14155211740316,3.44963464861467e-05,0.00118195376644639,"Ccr5"
"2952","ENSMUSG00000079625",439.980477534989,1.62831376838864,0.516767883278829,3.1509577531351,0.00162736027276304,0.0166275353430071,"Tm4sf19"
"3021","ENSMUSG00000103847",198.709298934086,1.62521969340906,0.448429673045111,3.62424654544563,0.000289805058118005,0.00521992746973814,"Gm20056"
"2450","ENSMUSG00000049313",80.3265781862834,1.61278276952194,0.627123107172494,2.57171638403421,0.0101195754658423,0.0582504068183283,"Sorl1"
"35","ENSMUSG00000001348",37969.6842998749,1.52526089681082,0.491377644499617,3.10405024299392,0.00190890911333236,0.0184576109533285,"Acp5"
"2742","ENSMUSG00000061815",548.761530672194,1.52189590109874,0.488826415181649,3.11336673680614,0.00184966020352885,0.0181396733446506,"Rufy4"
"1509","ENSMUSG00000031760",1301.45030459468,1.51235975146313,0.516895504998995,2.9258520084559,0.00343514306456011,0.0273192791364754,"Mt3"
"654","ENSMUSG00000022303",1259.21842040685,1.50152212306042,0.571981439288291,2.62512385878945,0.00866174523492343,0.0520275567252365,"Dcstamp"
