"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"2204","ENSMUSG00000091071",51.2082200604153,3.59743405285258,0.904732634821509,3.97623995686008,7.0013480676244e-05,0.00346297446729422,"1700030C10Rik"
"2172","ENSMUSG00000079227",528.565151903082,1.8968786127131,0.440655174508368,4.30467794875985,1.67228827707822e-05,0.00131593023016584,"Ccr5"
"220","ENSMUSG00000014542",95.9950001212597,1.65207012553948,0.511625740475137,3.22905982800091,0.00124197909383009,0.0204417174314918,"Clec4f"
"2109","ENSMUSG00000071748",71.9032197702113,1.59448463961947,0.383205797884212,4.16090948629449,3.1698270788e-05,0.00201801862541426,"Gm14698"
"1302","ENSMUSG00000034783",2554.45807347404,1.43455109438105,0.39928235383288,3.59282367630371,0.00032711394517547,0.00906729271642032,"Cd207"
"267","ENSMUSG00000017607",47.4187500415527,1.35609251445709,0.433518765652469,3.12810568284419,0.00175936907958444,0.025037979162336,"Tns4"
"1495","ENSMUSG00000039200",226.897598458049,1.18316226416355,0.403501395215863,2.93223834710802,0.00336528363296508,0.0368319553361114,"Atf7ip2"
"266","ENSMUSG00000017499",121.514233226634,1.11651474619659,0.254380537596925,4.38915161019806,1.1379371937181e-05,0.000998753499516817,"Cdc6"
"2037","ENSMUSG00000063234",46.3785333477838,1.08224967685325,0.319367083728533,3.38873269035196,0.000702164246157355,0.0141978493798484,"Gpr84"
"626","ENSMUSG00000024397",408.625358057616,1.06394598233358,0.218013498046115,4.88018398800486,1.05986916209662e-06,0.000170373967807032,"Aif1"
"2246","ENSMUSG00000113626",42.9707910673044,1.06192190654986,0.358366107076242,2.96323197306137,0.00304427053270454,0.034823883862066,"Gm7240"
"1903","ENSMUSG00000054932",54.9414011512041,1.03500153512534,0.328984405652378,3.14605044294706,0.00165491460602799,0.0239934631719503,"Afp"
"1530","ENSMUSG00000040086",43.7005533179193,1.03027263493509,0.406565872985286,2.53408538048243,0.0112741258137589,0.076024244594927,"Tnni3k"
"1643","ENSMUSG00000042498",144.51348790473,1.01683881410552,0.278521940787271,3.65083918068114,0.000261384875021474,0.0078906326121506,"Radx"
"2141","ENSMUSG00000074677",288.648404809493,0.979469185887892,0.295461011126789,3.31505392929012,0.00091625446103002,0.0168088906830899,"Sirpb1c"
"1715","ENSMUSG00000046295",41.49706187789,0.962628829912186,0.374924252760401,2.56752883502408,0.010242627024475,0.0715481713931278,"Ankle1"
"442","ENSMUSG00000021250",2180.3386577866,0.956401102006921,0.144261739530103,6.62962407858216,3.36542840926816e-11,7.21323489053142e-08,"Fos"
"1042","ENSMUSG00000030346",77.9669858726204,0.940688219057462,0.355248808786749,2.64797008685297,0.00809766900069476,0.0622450826951193,"Rad51ap1"
"14","ENSMUSG00000000682",521.692130604275,0.926401880752495,0.234562715312536,3.94948480843658,7.83195811142279e-05,0.00371656757612167,"Cd52"
"138","ENSMUSG00000005800",366.842170194635,0.898605789350021,0.261269878784794,3.43937767923947,0.000583053202315791,0.0126870798338089,"Mmp8"
"2021","ENSMUSG00000061882",80.2769519886045,0.882995713527251,0.344671851185195,2.56184457910028,0.0104117900194089,0.0723369095891943,"Ccdc62"
"1214","ENSMUSG00000032815",105.982498755115,0.880985051242906,0.250754879008621,3.5133316437389,0.000442524753110069,0.0108911660413319,"Fanca"
"1911","ENSMUSG00000055692",66.6132313865946,0.879355801214409,0.250301497993974,3.51318633033342,0.000442766855904979,0.0108911660413319,"Tmem191c"
"1074","ENSMUSG00000030830",3387.95255728395,0.876814246080675,0.254102629852769,3.45063034801614,0.000559279018872823,0.0124005658322491,"Itgal"
"1308","ENSMUSG00000034917",39.0549387865446,0.874857902616136,0.275948552346136,3.17036598010037,0.00152247046565951,0.0227663989164304,"Tjp3"
"462","ENSMUSG00000021569",98.1626712852105,0.857863552790178,0.237611136053577,3.61036762433873,0.000305763322945091,0.00880371109652743,"Trip13"
"1147","ENSMUSG00000031861",66.4237973532533,0.854659488233317,0.28876588341493,2.95969689398955,0.00307941853715149,0.0350364872389201,"Lpar2"
