"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol","mgi_description"
"181","ENSMUSG00000067889",32.3327289871704,1.97009810278714,0.452829450762622,4.35064039997674,1.35740506947681e-05,0.00429030495625969,"Sptbn2","spectrin beta, non-erythrocytic 2"
"140","ENSMUSG00000041731",70.8167108148542,1.93924056365968,0.599924701367684,3.23247327412703,0.00122723614932544,0.0969721097325319,"Pgm5","phosphoglucomutase 5"
"18","ENSMUSG00000006204",44.7453838248198,1.87548083614451,0.503643036329494,3.7238295794038,0.000196223409020826,0.0284784239439103,"Cdcp3","CUB domain containing protein 3"
"177","ENSMUSG00000063239",16.9649989237052,1.75638169459521,0.469382100246896,3.74190173351594,0.000182632933270518,0.0273430337884903,"Grm4","glutamate receptor, metabotropic 4"
"13","ENSMUSG00000005089",47.6257393450227,1.6794671283004,0.423445348636813,3.9661957173625,7.30289025519135e-05,0.0140363524458901,"Slc1a2","solute carrier family 1 (glial high affinity glutamate transporter), member 2"
"159","ENSMUSG00000051279",1615.6826825103,1.18108428328258,0.234512904696725,5.03632959904689,4.74543165749702e-07,0.000397025143909294,"Gdf6","growth differentiation factor 6"
"77","ENSMUSG00000026062",37.4984900549218,1.11995054398393,0.338163196700841,3.3118640789722,0.000926765613825539,0.0818719709654698,"Slc9a2","solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"58","ENSMUSG00000023473",176.219415034158,0.949317033843185,0.290819906859893,3.26427803410491,0.001097434146729,0.0897057808558998,"Celsr3","cadherin, EGF LAG seven-pass G-type receptor 3"
"52","ENSMUSG00000022382",83.1837437168606,0.930621470189843,0.27482848715865,3.38618998274595,0.000708703016290487,0.0674040304839932,"Wnt7b","wingless-type MMTV integration site family, member 7B"
"155","ENSMUSG00000049719",132.068644927991,0.847588570449695,0.253030344623789,3.34975068587093,0.000808843271953546,0.0747024536168525,"Prss46","protease, serine 46"
"64","ENSMUSG00000024593",1786.49154875827,0.824779571436973,0.23634314578723,3.48975456296706,0.000483464350976054,0.0541442005034048,"Megf10","multiple EGF-like-domains 10"
"143","ENSMUSG00000042607",1587.72528609518,0.821233403631492,0.160724993451772,5.10955630480656,3.22916249613695e-07,0.000321947428776872,"Asb4","ankyrin repeat and SOCS box-containing 4"
"66","ENSMUSG00000024598",224.288337659389,0.773333472589114,0.190833970864319,4.05238893833502,5.06972923400077e-05,0.0107622028201781,"Fbn2","fibrillin 2"
"173","ENSMUSG00000060548",1280.84759485271,0.745030834475492,0.217786271528247,3.42092653153695,0.000624081888194519,0.0629526006793663,"Tnfrsf19","tumor necrosis factor receptor superfamily, member 19"
"193","ENSMUSG00000102222",733.075687999774,0.674750659911475,0.171740651324575,3.92889309960898,8.53377622876872e-05,0.0159214964128379,"Pcdhga10","protocadherin gamma subfamily A, 10"
"12","ENSMUSG00000003545",80.0242101512274,0.670805619370518,0.201474019745354,3.32948943103612,0.000870053662182545,0.078321349602673,"Fosb","FBJ osteosarcoma oncogene B"
"145","ENSMUSG00000044037",1890.60911599742,0.661102870241462,0.189217329225603,3.4938812049991,0.000476052799379387,0.0537372933775636,"Als2cl","ALS2 C-terminal like"
