,Symbol,Name,Annotated.Term,Manual,Pubmed
3,Acvr1,"activin A receptor, type 1",BMP signaling pathway,pos,25413979
5,Acvr2a,activin receptor IIA,BMP signaling pathway,,
6,Acvr2b,activin receptor IIB,BMP signaling pathway,,
9,Amhr2,anti-Mullerian hormone type 2 receptor,BMP signaling pathway,,
10,Atf2,activating transcription factor 2,BMP signaling pathway,downstream,19948881
12,Bmncr,bone marrow associated noncoding RNA,BMP signaling pathway,pos,30352426
13,Bmp2,bone morphogenetic protein 2,BMP signaling pathway,pos,
17,Bmp3,bone morphogenetic protein 3,BMP signaling pathway,neg,11263666
27,Bmp6,bone morphogenetic protein 6,BMP signaling pathway,pos,16109715
28,Bmp7,bone morphogenetic protein 7,BMP signaling pathway,pos,19950204
29,Bmp10,bone morphogenetic protein 10,BMP signaling pathway,pos,19762341
30,Bmp15,bone morphogenetic protein 15,BMP signaling pathway,pos,23382188
33,Bmpr1a,"bone morphogenetic protein receptor, type 1A",BMP signaling pathway,pos,15781876
35,Bmpr1b,"bone morphogenetic protein receptor, type 1B",BMP signaling pathway,pos,15781876
50,Comp,cartilage oligomeric matrix protein,BMP signaling pathway,pos,23528838
56,Ddx5,DEAD box helicase 5,BMP signaling pathway,,
59,Dlx3,distal-less homeobox 3,BMP signaling pathway,downstream,11788714
60,Dlx5,distal-less homeobox 5,BMP signaling pathway,downstream,10075846
61,Dsg4,desmoglein 4,BMP signaling pathway,downstream,18692037
62,Ecsit,ECSIT signalling integrator,BMP signaling pathway,pos,14633973
63,Egr1,early growth response 1,BMP signaling pathway,pos,23209659
67,Ext1,exostosin glycosyltransferase 1,BMP signaling pathway,pos,28768899
68,Fam83g,"family with sequence similarity 83, member G",BMP signaling pathway,?,24554596
69,Fbn1,fibrillin 1,sequestering of BMP in extracellular matrix,neg,27437668
75,Fst,follistatin,BMP signaling pathway,neg,9689081
76,Fst,follistatin,regulation of BMP signaling pathway,neg,9689081
77,Fstl1,follistatin-like 1,regulation of BMP signaling pathway,neg,21482757
80,Fstl4,follistatin-like 4,regulation of BMP signaling pathway,neg,27848974
81,Fstl5,follistatin-like 5,regulation of BMP signaling pathway,neg,27848974
85,Gdf1,growth differentiation factor 1,BMP signaling pathway,,
92,Gdf6,growth differentiation factor 6,BMP signaling pathway,pos,19762341
93,Gdf7,growth differentiation factor 7,BMP signaling pathway,pos,19762341
94,Gdf9,growth differentiation factor 9,BMP signaling pathway,pos,23382188
95,Gdf10,growth differentiation factor 10,BMP signaling pathway,neg,22155034
106,Hfe,homeostatic iron regulator,BMP signaling pathway,pos,24904118
108,Hivep1,human immunodeficiency virus type I enhancer binding protein 1,BMP signaling pathway,?,17008448
111,Hoxa13,homeobox A13,regulation of BMP signaling pathway,pos,15342482
114,Id1,"inhibitor of DNA binding 1, HLH protein",BMP signaling pathway,downstream,11729207
116,Inhba,inhibin beta-A,BMP signaling pathway,neg,12493742
117,Inhbb,inhibin beta-B,BMP signaling pathway,neg,12493742
118,Inhbc,inhibin beta-C,BMP signaling pathway,neg,12493742
119,Inhbe,inhibin beta-E,BMP signaling pathway,neg,12493742
120,Itga3,integrin alpha 3,regulation of BMP signaling pathway,,
123,Lef1,lymphoid enhancer binding factor 1,BMP signaling pathway,downstream,8647435
