Gene name,Gene ID
Bapx1,ENSMUSG00000049691
P53,ENSMUSG00000059552
Maf,ENSMUSG00000055435
Hand2,ENSMUSG00000038193
Hivep3,ENSMUSG00000028634
NF-κB,ENSMUSG00000028163
Sost,ENSMUSG00000001494
Esr1,ENSMUSG00000019768
Spp1,ENSMUSG00000029304
Bglap,ENSMUSG00000074483
Msx2,ENSMUSG00000021469
Tcf7,ENSMUSG00000000782
Lef1,ENSMUSG00000027985
Sp7,ENSMUSG00000060284
Stat1,ENSMUSG00000026104
Nfatc1,ENSMUSG00000033016
Bapx1,ENSMUSG00000049691
Dlx5,ENSMUSG00000029755
Ihh,ENSMUSG00000006538
Rankl,ENSMUSG00000022015
Gli3,ENSMUSG00000021318
Col1a1,ENSMUSG00000001506
Satb2,ENSMUSG00000038331
Rb,ENSMUSG00000022105
Bmp2,ENSMUSG00000027358
Runx2,ENSMUSG00000039153
Twist1,ENSMUSG00000035799
Fra1,ENSMUSG00000024912
Bglap2,ENSMUSG00000074486
Mmp13,ENSMUSG00000050578
Ibsp,ENSMUSG00000029306
Sost,ENSMUSG00000001494
Cox2,ENSMUSG00000032487
Runx2,ENSMUSG00000039153
Opn,ENSMUSG00000029304
Alp,ENSMUSG00000028766
Taz,ENSMUSG00000009995
Zfp521,ENSMUSG00000024420
Smad4,ENSMUSG00000024515
Smad6,ENSMUSG00000036867
Lox,ENSMUSG00000024529
Ctnnb1,ENSMUSG00000006932
Wnt5a,ENSMUSG00000021994
Wnt10b,ENSMUSG00000022996
Lrp5,ENSMUSG00000024913
Lrp6,ENSMUSG00000030201
Twist,ENSMUSG00000035799
Tgfb,ENSMUSG00000002603
Nfatc1,ENSMUSG00000033016
Opg,ENSMUSG00000063727
Hoxa2,ENSMUSG00000014704
Bmp3,ENSMUSG00000029335
Bmp4,ENSMUSG00000021835
Bmpr1a,ENSMUSG00000021796
Ets1,ENSMUSG00000032035
Fgf1,ENSMUSG00000036585
Fgf2,ENSMUSG00000037225
Fgf6,ENSMUSG00000000183
Fgf7,ENSMUSG00000027208
Fgf8,ENSMUSG00000025219
Fgf9,ENSMUSG00000021974
Fgf17,ENSMUSG00000022101
Fgf18,ENSMUSG00000057967
Fzd1,ENSMUSG00000044674
Alpl,ENSMUSG00000028766
Dlx5,ENSMUSG00000029755
Msx-2,ENSMUSG00000021469
Ap-1,ENSMUSG00000052684
Gli2,ENSMUSG00000048402
Notch1,ENSMUSG00000026923
Notch2,ENSMUSG00000027878
Psen1,ENSMUSG00000019969
Psen2,ENSMUSG00000010609
Rbpj,ENSMUSG00000039191
Hey1,ENSMUSG00000040289
Heyl,ENSMUSG00000032744
Atf4,ENSMUSG00000042406
C-fos,ENSMUSG00000021250
Satb2,ENSMUSG00000038331
Gli2,ENSMUSG00000048402
Fosb,ENSMUSG00000003545
Junb,ENSMUSG00000052837
Fzd9,ENSMUSG00000049551
Pdlim7,ENSMUSG00000021493
