,ensembl_gene_id,mgi_symbol
1,ENSMUSG00000000440,Pparg
2,ENSMUSG00000000530,Acvrl1
3,ENSMUSG00000001494,Sost
4,ENSMUSG00000001507,Itga3
5,ENSMUSG00000001510,Dlx3
6,ENSMUSG00000001804,Dsg4
7,ENSMUSG00000002603,Tgfb1
8,ENSMUSG00000005836,Gata6
9,ENSMUSG00000006205,Htra1
10,ENSMUSG00000006611,Hfe
11,ENSMUSG00000006958,Chrd
12,ENSMUSG00000007655,Cav1
13,ENSMUSG00000008999,Bmp7
14,ENSMUSG00000009900,Wnt3a
15,ENSMUSG00000012396,Nanog
16,ENSMUSG00000016918,Sulf1
17,ENSMUSG00000016942,Tmprss6
18,ENSMUSG00000018238,Gdf9
19,ENSMUSG00000018363,Smurf2
20,ENSMUSG00000019428,Fkbp8
21,ENSMUSG00000020124,Usp15
22,ENSMUSG00000020325,Fstl3
23,ENSMUSG00000020719,Ddx5
24,ENSMUSG00000020802,Ube2o
25,ENSMUSG00000021096,Ppm1a
26,ENSMUSG00000021253,Tgfb3
27,ENSMUSG00000021319,Sfrp4
28,ENSMUSG00000021366,Hivep1
29,ENSMUSG00000021464,Ror2
30,ENSMUSG00000021469,Msx2
31,ENSMUSG00000021540,Smad5
32,ENSMUSG00000021765,Fst
33,ENSMUSG00000021796,Bmpr1a
34,ENSMUSG00000021835,Bmp4
35,ENSMUSG00000021943,Gdf10
36,ENSMUSG00000021944,Gata4
37,ENSMUSG00000021994,Wnt5a
38,ENSMUSG00000022245,Skor1
39,ENSMUSG00000022528,Hes1
40,ENSMUSG00000022816,Fstl1
41,ENSMUSG00000022997,Wnt1
42,ENSMUSG00000023047,Amhr2
43,ENSMUSG00000023279,Bmp15
44,ENSMUSG00000024074,Crim1
45,ENSMUSG00000024098,Twsg1
46,ENSMUSG00000024232,Bambi
47,ENSMUSG00000024515,Smad4
48,ENSMUSG00000024563,Smad2
49,ENSMUSG00000024868,Dkk1
50,ENSMUSG00000024975,Pdcd4
51,ENSMUSG00000024985,Tcf7l2
52,ENSMUSG00000025226,Fbxl15
53,ENSMUSG00000025405,Inhbc
54,ENSMUSG00000025427,Rnf165
55,ENSMUSG00000025880,Smad7
56,ENSMUSG00000025927,Tfap2b
57,ENSMUSG00000026814,Eng
58,ENSMUSG00000026836,Acvr1
59,ENSMUSG00000026842,Abl1
60,ENSMUSG00000026923,Notch1
61,ENSMUSG00000027070,Lrp2
62,ENSMUSG00000027104,Atf2
63,ENSMUSG00000027204,Fbn1
64,ENSMUSG00000027358,Bmp2
65,ENSMUSG00000027660,Skil
66,ENSMUSG00000027796,Smad9
67,ENSMUSG00000027878,Notch2
68,ENSMUSG00000027985,Lef1
69,ENSMUSG00000027996,Sfrp2
70,ENSMUSG00000028565,Nfia
71,ENSMUSG00000029050,Ski
72,ENSMUSG00000029096,Htra3
73,ENSMUSG00000029287,Tgfbr3
74,ENSMUSG00000029335,Bmp3
75,ENSMUSG00000029755,Dlx5
76,ENSMUSG00000030046,Bmp10
77,ENSMUSG00000030117,Gdf3
78,ENSMUSG00000030732,Chrdl2
79,ENSMUSG00000030890,Ilk
80,ENSMUSG00000031010,Usp9x
81,ENSMUSG00000031283,Chrdl1
82,ENSMUSG00000031548,Sfrp1
83,ENSMUSG00000031681,Smad1
84,ENSMUSG00000031849,Comp
85,ENSMUSG00000031871,Cdh5
86,ENSMUSG00000031906,Smpd3
87,ENSMUSG00000031963,Bmper
88,ENSMUSG00000031965,Tbx20
89,ENSMUSG00000032340,Neo1
90,ENSMUSG00000033014,Trim33
91,ENSMUSG00000033411,Ctdspl2
92,ENSMUSG00000034098,Fstl5
93,ENSMUSG00000034161,Scx
94,ENSMUSG00000035403,Crb2
95,ENSMUSG00000036169,Sostdc1
96,ENSMUSG00000036264,Fstl4
97,ENSMUSG00000036699,Zcchc12
98,ENSMUSG00000036867,Smad6
99,ENSMUSG00000037035,Inhbb
100,ENSMUSG00000037171,Nodal
101,ENSMUSG00000037573,Tob1
102,ENSMUSG00000037660,Gdf7
103,ENSMUSG00000038192,Cer1
104,ENSMUSG00000038203,Hoxa13
105,ENSMUSG00000038259,Gdf5
106,ENSMUSG00000038418,Egr1
107,ENSMUSG00000038677,Scube3
108,ENSMUSG00000038780,Smurf1
109,ENSMUSG00000038793,Lefty1
110,ENSMUSG00000039004,Bmp6
111,ENSMUSG00000039153,Runx2
112,ENSMUSG00000039191,Rbpj
113,ENSMUSG00000039239,Tgfb2
114,ENSMUSG00000039878,Slc39a5
115,ENSMUSG00000041120,Nbl1
116,ENSMUSG00000041324,Inhba
117,ENSMUSG00000041762,Gpr155
118,ENSMUSG00000041911,Dlx1
119,ENSMUSG00000042275,Pelo
120,ENSMUSG00000042377,Fam83g
121,ENSMUSG00000042745,Id1
122,ENSMUSG00000044674,Fzd1
123,ENSMUSG00000044857,Lemd2
124,ENSMUSG00000045039,Megf8
125,ENSMUSG00000045333,Zfp423
126,ENSMUSG00000045648,Vwc2l
127,ENSMUSG00000047492,Inhbe
128,ENSMUSG00000048001,Hes5
129,ENSMUSG00000048027,Rgmb
130,ENSMUSG00000048450,Msx1
131,ENSMUSG00000048616,Nog
132,ENSMUSG00000048661,Lemd3
133,ENSMUSG00000048772,Tmem53
134,ENSMUSG00000049313,Sorl1
135,ENSMUSG00000050069,Grem2
136,ENSMUSG00000050830,Vwc2
137,ENSMUSG00000051279,Gdf6
138,ENSMUSG00000052155,Acvr2a
139,ENSMUSG00000052430,Bmpr1b
140,ENSMUSG00000053226,Dand5
141,ENSMUSG00000053475,Tnfaip6
142,ENSMUSG00000055653,Gpc3
143,ENSMUSG00000059022,Kcp
144,ENSMUSG00000060397,Zfp128
145,ENSMUSG00000061393,Acvr2b
146,ENSMUSG00000061436,Hipk2
147,ENSMUSG00000061731,Ext1
148,ENSMUSG00000062960,Kdr
149,ENSMUSG00000063065,Mapk3
150,ENSMUSG00000063632,Sox11
151,ENSMUSG00000066306,Numa1
152,ENSMUSG00000066652,Lefty2
153,ENSMUSG00000066839,Ecsit
154,ENSMUSG00000067336,Bmpr2
155,ENSMUSG00000069763,Tmem100
156,ENSMUSG00000070509,Rgma
157,ENSMUSG00000072625,Gdf2
158,ENSMUSG00000074934,Grem1
159,ENSMUSG00000078302,Foxd1
160,ENSMUSG00000091519,Skor2
161,ENSMUSG00000055694,
