From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P97471,P97471,reviewed,SMAD4_MOUSE,Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4 homolog) (SMAD family member 4) (SMAD 4) (Smad4),Smad4 Dpc4 Madh4,Mus musculus (Mouse),551
Q8BUN5,Q8BUN5,reviewed,SMAD3_MOUSE,Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (mMad3) (SMAD family member 3) (SMAD 3) (Smad3),Smad3 Madh3,Mus musculus (Mouse),425
Q62432,Q62432,reviewed,SMAD2_MOUSE,Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2),Smad2 Madh2 Madr2,Mus musculus (Mouse),467
P47931,P47931,reviewed,FST_MOUSE,Follistatin (FS) (Activin-binding protein),Fst,Mus musculus (Mouse),344
Q04999,Q04999,reviewed,INHBB_MOUSE,Inhibin beta B chain (Activin beta-B chain),Inhbb,Mus musculus (Mouse),411
Q04998,Q04998,reviewed,INHBA_MOUSE,Inhibin beta A chain (Activin beta-A chain),Inhba,Mus musculus (Mouse),424
Q9EQC7,Q9EQC7,reviewed,FSTL3_MOUSE,Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein),Fstl3 Flrg,Mus musculus (Mouse),256
Q61271,Q61271,reviewed,ACV1B_MOUSE,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),Acvr1b Alk4,Mus musculus (Mouse),505
P27040,P27040,reviewed,AVR2B_MOUSE,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Acvr2b,Mus musculus (Mouse),536
P27038,P27038,reviewed,AVR2A_MOUSE,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA),Acvr2a Acvr2,Mus musculus (Mouse),513
Q8K348,Q8K348,reviewed,ACV1C_MOUSE,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),Acvr1c Alk7,Mus musculus (Mouse),493
Q63844,Q63844,reviewed,MK03_MOUSE,Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1),Mapk3 Erk1 Prkm3,Mus musculus (Mouse),380
P63085,P63085,reviewed,MK01_MOUSE,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2),Mapk1 Erk2 Mapk Prkm1,Mus musculus (Mouse),358
P21274,P21274,reviewed,BMP2_MOUSE,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Bmp2 Bmp-2,Mus musculus (Mouse),394
P36898,P36898,reviewed,BMR1B_MOUSE,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (Activin receptor-like kinase 6) (ALK-6) (Serine/threonine-protein kinase receptor R6) (SKR6) (CD antigen CDw293),Bmpr1b Acvrlk6,Mus musculus (Mouse),502
P36895,P36895,reviewed,BMR1A_MOUSE,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),Bmpr1a Acvrlk3 Bmpr,Mus musculus (Mouse),532
O35607,O35607,reviewed,BMPR2_MOUSE,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II),Bmpr2,Mus musculus (Mouse),1038
P97454,P97454,reviewed,SMAD5_MOUSE,Mothers against decapentaplegic homolog 5 (MAD homolog 5) (Mothers against DPP homolog 5) (Dwarfin-C) (Dwf-C) (SMAD family member 5) (SMAD 5) (Smad5) (mSmad5),Smad5 Madh5 Msmad5,Mus musculus (Mouse),465
P70340,P70340,reviewed,SMAD1_MOUSE,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (Dwarfin-A) (Dwf-A) (Mothers-against-DPP-related 1) (Mad-related protein 1) (mMad1) (SMAD family member 1) (SMAD 1) (Smad1),Smad1 Madh1 Madr1,Mus musculus (Mouse),465
