From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P21274,P21274,reviewed,BMP2_MOUSE,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Bmp2 Bmp-2,Mus musculus (Mouse),394
P36898,P36898,reviewed,BMR1B_MOUSE,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (Activin receptor-like kinase 6) (ALK-6) (Serine/threonine-protein kinase receptor R6) (SKR6) (CD antigen CDw293),Bmpr1b Acvrlk6,Mus musculus (Mouse),502
P36895,P36895,reviewed,BMR1A_MOUSE,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),Bmpr1a Acvrlk3 Bmpr,Mus musculus (Mouse),532
P27040,P27040,reviewed,AVR2B_MOUSE,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Acvr2b,Mus musculus (Mouse),536
O35607,O35607,reviewed,BMPR2_MOUSE,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II),Bmpr2,Mus musculus (Mouse),1038
P27038,P27038,reviewed,AVR2A_MOUSE,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA),Acvr2a Acvr2,Mus musculus (Mouse),513
P97454,P97454,reviewed,SMAD5_MOUSE,Mothers against decapentaplegic homolog 5 (MAD homolog 5) (Mothers against DPP homolog 5) (Dwarfin-C) (Dwf-C) (SMAD family member 5) (SMAD 5) (Smad5) (mSmad5),Smad5 Madh5 Msmad5,Mus musculus (Mouse),465
P70340,P70340,reviewed,SMAD1_MOUSE,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (Dwarfin-A) (Dwf-A) (Mothers-against-DPP-related 1) (Mad-related protein 1) (mMad1) (SMAD family member 1) (SMAD 1) (Smad1),Smad1 Madh1 Madr1,Mus musculus (Mouse),465
Q9JIW5,Q9JIW5,reviewed,SMAD9_MOUSE,Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (SMAD family member 9) (SMAD 9) (Smad9) (Smad8),Smad9 Madh8 Madh9 Smad8,Mus musculus (Mouse),430
O35182,O35182,reviewed,SMAD6_MOUSE,Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (Mad homolog 7) (SMAD family member 6) (SMAD 6) (Smad6),Smad6 Madh6 Madh7 Msmad6,Mus musculus (Mouse),495
O35253,O35253,reviewed,SMAD7_MOUSE,Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7),Smad7 Madh7 Madh8,Mus musculus (Mouse),426
P97471,P97471,reviewed,SMAD4_MOUSE,Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4 homolog) (SMAD family member 4) (SMAD 4) (Smad4),Smad4 Dpc4 Madh4,Mus musculus (Mouse),551
P97466,P97466,reviewed,NOGG_MOUSE,Noggin,Nog,Mus musculus (Mouse),232
Q920C1,Q920C1,reviewed,CRDL1_MOUSE,Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin),Chrdl1 Ng1 Nrln1,Mus musculus (Mouse),447
O55233,O55233,reviewed,CER1_MOUSE,Cerberus (Cerberus-like protein) (Cer-l) (Cerberus-related protein),Cer1 Cerl Cerr1,Mus musculus (Mouse),272
O88273,O88273,reviewed,GREM2_MOUSE,"Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (Protein related to DAN and cerberus) (PRDC)",Grem2 Cktsf1b2 Prdc,Mus musculus (Mouse),168
Q62356,Q62356,reviewed,FSTL1_MOUSE,Follistatin-related protein 1 (Follistatin-like protein 1) (TGF-beta-inducible protein TSC-36),Fstl1 Frp Fstl Tsc36,Mus musculus (Mouse),306
Q61288,Q61288,reviewed,ACVL1_MOUSE,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Acvrl1 Acvrlk1 Alk-1,Mus musculus (Mouse),502
Q9WV56,Q9WV56,reviewed,GDF2_MOUSE,Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9),Gdf2 Bmp9,Mus musculus (Mouse),428
Q9R229,Q9R229,reviewed,BMP10_MOUSE,Bone morphogenetic protein 10 (BMP-10),Bmp10,Mus musculus (Mouse),421
Q60698,Q60698,reviewed,SKI_MOUSE,Ski oncogene (Proto-oncogene c-Ski),Ski,Mus musculus (Mouse),725
P27106,P27106,reviewed,MIS_MOUSE,Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS),Amh,Mus musculus (Mouse),554
Q8K592,Q8K592,reviewed,AMHR2_MOUSE,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),Amhr2,Mus musculus (Mouse),568
A2A5Z6,A2A5Z6,reviewed,SMUF2_MOUSE,E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),Smurf2,Mus musculus (Mouse),748
Q9CUN6,Q9CUN6,reviewed,SMUF1_MOUSE,E3 ubiquitin-protein ligase SMURF1 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1),Smurf1,Mus musculus (Mouse),731
Q80U44,Q80U44,reviewed,ZFY16_MOUSE,Zinc finger FYVE domain-containing protein 16 (Endofin) (Endosomal-associated FYVE domain protein),Zfyve16 Kiaa0305,Mus musculus (Mouse),1528
P61080,P61080,reviewed,UB2D1_MOUSE,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),Ube2d1,Mus musculus (Mouse),147
P61079,P61079,reviewed,UB2D3_MOUSE,Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3),Ube2d3,Mus musculus (Mouse),147
