"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol","mgi_description"
"117","ENSMUSG00000054920",46.679326739995,1.30131102974343,0.337641287326993,3.85412293634326,0.000116145228595548,0.022106853792116,"Klhl5","kelch-like 5"
"116","ENSMUSG00000051279",1619.85033259367,1.19404446899552,0.23916313908582,4.99259406595703,5.95736826505606e-07,0.000503174217087297,"Gdf6","growth differentiation factor 6"
"38","ENSMUSG00000024598",224.809357257508,0.817630583579261,0.154736553699623,5.28401702138501,1.26381501025292e-07,0.000213489950606975,"Fbn2","fibrillin 2"
"104","ENSMUSG00000042607",1586.68230805551,0.779249728433741,0.164241549374935,4.7445346892999,2.08986165135743e-06,0.00117676626485185,"Asb4","ankyrin repeat and SOCS box-containing 4"
"11","ENSMUSG00000006362",57.7812041513461,0.77694073720226,0.235851098736617,3.29420020243322,0.000987021711638161,0.0964790855671116,"Cbfa2t3","CBFA2/RUNX1 translocation partner 3"
"33","ENSMUSG00000022686",397.733238685022,0.69658688231344,0.153852426392906,4.52763013652127,5.96488668379773e-06,0.00251904620765133,"B3gnt5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"77","ENSMUSG00000035024",253.980809251564,0.669977987345741,0.175668924964636,3.8138674070022,0.000136808887855102,0.0243267804009717,"Ncapd3","non-SMC condensin II complex, subunit D3"
"57","ENSMUSG00000028364",28174.1001517697,0.568040507900106,0.157771145658649,3.60040808177376,0.000317718134941045,0.0447254466207634,"Tnc","tenascin C"
"99","ENSMUSG00000040809",9887.38071742989,0.541521272552613,0.108260496032973,5.0020209808357,5.67324144029483e-07,0.000503174217087297,"Chil3","chitinase-like 3"
"141","ENSMUSG00000092035",595.588680158038,0.533591072856388,0.133431261459681,3.99899594007528,6.36117711534305e-05,0.015919434729027,"Peg10","paternally expressed 10"
"17","ENSMUSG00000015957",374.65916962667,0.52872323139346,0.138412244009692,3.81991662064549,0.000133496793983012,0.0240543423184857,"Wnt11","wingless-type MMTV integration site family, member 11"
"74","ENSMUSG00000034394",392.305352317077,0.470675210293288,0.136389720393412,3.45095809959606,0.000558600284714989,0.0662793368469032,"Lif","leukemia inhibitory factor"
"43","ENSMUSG00000025856",3563.80720001299,0.439857626917062,0.117138134514557,3.75503356562676,0.000173318249520622,0.0300284977438677,"Pdgfa","platelet derived growth factor, alpha"
"90","ENSMUSG00000038718",594.29018644071,0.438274733521381,0.0909317737320922,4.81981947050377,1.43688186156682e-06,0.000924667689391145,"Pbx3","pre B cell leukemia homeobox 3"
"51","ENSMUSG00000027134",472.867041622363,0.437610686532149,0.119038821044271,3.67620145002445,0.000236732607883563,0.0372000518946333,"Lpcat4","lysophosphatidylcholine acyltransferase 4"
"131","ENSMUSG00000068394",276.036450220131,0.43001339322173,0.128954083334097,3.3346240933499,0.000854147796204481,0.0901793227961512,"Cep152","centrosomal protein 152"
"109","ENSMUSG00000044548",344.309085280712,0.421921727806822,0.0982872831730235,4.29273975417631,1.76481818300348e-05,0.00518472889676285,"Dact1","dishevelled-binding antagonist of beta-catenin 1"
"46","ENSMUSG00000026201",568.960340775625,0.40955913582201,0.0918645626307819,4.45829299234888,8.26149277918596e-06,0.00328370039464468,"Stk16","serine/threonine kinase 16"
"28","ENSMUSG00000021557",1475.88204066919,0.407887671118363,0.0946363668488249,4.31005209413772,1.63216092960498e-05,0.00501295972788222,"Agtpbp1","ATP/GTP binding protein 1"
"102","ENSMUSG00000042225",1155.74616293284,0.400094994985272,0.09238430914155,4.33076784037268,1.48590282145094e-05,0.00466988156490418,"Ammecr1","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"93","ENSMUSG00000039153",2313.36851779796,0.399310482185405,0.0821605311673651,4.8601253729968,1.17311437155995e-06,0.000792673380863059,"Runx2","runt related transcription factor 2"
"19","ENSMUSG00000019699",1309.90756133274,0.386571793822393,0.108073200371486,3.57694407580796,0.000347634509815142,0.0474538663196144,"Akt3","thymoma viral proto-oncogene 3"
"85","ENSMUSG00000038143",1432.38235406484,0.385057806770871,0.116700644784507,3.29953452683914,0.000968453136186962,0.0964790855671116,"Stox2","storkhead box 2"
"79","ENSMUSG00000035914",3070.58804739314,0.382591131404231,0.111193438937698,3.4407707420453,0.000580059789053739,0.0675769654247605,"Cd276","CD276 antigen"
"84","ENSMUSG00000037656",2059.734775365,0.36083013598815,0.0915922870483129,3.93952534232298,8.16429780051727e-05,0.0187003933010492,"Slc20a2","solute carrier family 20, member 2"
"45","ENSMUSG00000026153",634.475320666706,0.340831071971603,0.0966790008433976,3.52538885381829,0.000422861581185866,0.0539108623409981,"Fam135a","family with sequence similarity 135, member A"
"59","ENSMUSG00000028402",2898.44015420774,0.340309600784801,0.0965103845831195,3.52614490404097,0.000421656194178386,0.0539108623409981,"Mpdz","multiple PDZ domain protein"
"14","ENSMUSG00000008575",1391.34743634433,0.338939228067748,0.0934686582513425,3.6262340169292,0.000287584750848102,0.0421700443849434,"Nfib","nuclear factor I/B"
"81","ENSMUSG00000037234",4282.33704722012,0.332594058124807,0.0792075802824503,4.19901803512736,2.68074970975282e-05,0.00758545394888897,"Hook3","hook microtubule tethering protein 3"
"23","ENSMUSG00000020422",16680.6114875376,0.329882831740483,0.0754691775518183,4.37109350388747,1.23625833442277e-05,0.00431515646775234,"Tns3","tensin 3"
"53","ENSMUSG00000027820",923.20292698068,0.328508746166707,0.0957153396816995,3.43214313671309,0.000598831411541477,0.069167587141637,"Mme","membrane metallo endopeptidase"
"110","ENSMUSG00000045005",5133.6698924473,0.32164806584214,0.0747301529882754,4.30412695518775,1.67645513378406e-05,0.00503458103954616,"Fzd5","frizzled class receptor 5"
"58","ENSMUSG00000028399",13754.9948127601,0.319630860611347,0.0707089173985239,4.5203755391964,6.17300285433935e-06,0.00252793819919824,"Ptprd","protein tyrosine phosphatase, receptor type, D"
"20","ENSMUSG00000019823",1275.33535910088,0.299887898909969,0.0895475880845353,3.34892212425495,0.000811265948565899,0.0877075842313565,"Mical1","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"49","ENSMUSG00000026883",2948.65872934365,0.295600904909119,0.0852602965796459,3.46704054252243,0.000526222513593949,0.0640664058442219,"Dab2ip","disabled 2 interacting protein"
"87","ENSMUSG00000038241",3691.18108801609,0.293318774065995,0.0628352559059161,4.66806046760092,3.0405642269432e-06,0.00153285094848519,"Cep250","centrosomal protein 250"
"105","ENSMUSG00000043415",889.019447960378,0.291372625906949,0.080738847854756,3.60882813724453,0.000307583285613398,0.0437545318082048,"Otud1","OTU domain containing 1"
"35","ENSMUSG00000023008",4127.38186670316,0.289853532464415,0.0800451514748787,3.62112541638931,0.00029332426906798,0.0421700443849434,"Fmnl3","formin-like 3"
"65","ENSMUSG00000030471",993.848938235796,0.282904782832928,0.0739237089589175,3.82698307237466,0.000129723432010441,0.023690303516069,"Zdhhc13","zinc finger, DHHC domain containing 13"
"1","ENSMUSG00000001036",3522.30556450949,0.278663380977423,0.0834000605030429,3.34128511773988,0.000833915392022859,0.0887364772267474,"Epn2","epsin 2"
"78","ENSMUSG00000035517",2104.92840783159,0.274211376315289,0.0783512988243727,3.49976810122758,0.00046566307045928,0.0588128105998758,"Tdrd7","tudor domain containing 7"
"126","ENSMUSG00000061175",3771.64777738591,0.268019175681614,0.0712047931867964,3.76406086846571,0.00016717616294065,0.0293405021555836,"Fnip2","folliculin interacting protein 2"
"40","ENSMUSG00000025261",13390.4589996781,0.243120280193741,0.0668556817785262,3.63649391833486,0.000276374165245759,0.0410430820783647,"Huwe1","HECT, UBA and WWE domain containing 1"
"32","ENSMUSG00000022565",29338.404478705,0.241915180851637,0.0734704413115561,3.29268718865837,0.000992348149609924,0.0964790855671116,"Plec","plectin"
"108","ENSMUSG00000044465",1222.40487889365,0.228451901587564,0.0696052659512916,3.28210658296214,0.0010303465172644,0.0987525023710011,"Fam160a2","family with sequence similarity 160, member A2"
"96","ENSMUSG00000040274",2896.48151829616,0.224626919253937,0.0629551318626613,3.5680477922589,0.000359650913941247,0.0486032245100201,"Cdk6","cyclin-dependent kinase 6"
"94","ENSMUSG00000039852",5057.85040078622,0.221849269120176,0.0528479333598486,4.19787974696333,2.69425624942038e-05,0.00758545394888897,"Rere","arginine glutamic acid dipeptide (RE) repeats"
"61","ENSMUSG00000028760",4750.6130816055,0.218123401317607,0.0655978590538074,3.32516037053418,0.0008836768978125,0.0912735179290207,"Eif4g3","eukaryotic translation initiation factor 4 gamma, 3"
"80","ENSMUSG00000037210",2157.80767752328,0.198664090734073,0.051075580412719,3.88961004708624,0.000100405430475441,0.0206464186854845,"Fam193a","family with sequence homology 193, member A"
"127","ENSMUSG00000061689",4254.29897583871,0.179699885410476,0.0412963192758916,4.35147462440758,1.35224973971886e-05,0.0043510245196573,"Dlgap4","DLG associated protein 4"
"73","ENSMUSG00000034269",3986.36363234123,0.170560564729121,0.0439439056038769,3.88132466573643,0.00010388903881996,0.0206464186854845,"Setd5","SET domain containing 5"
"42","ENSMUSG00000025423",1715.9710609561,0.165001377799468,0.0500682898013561,3.29552653893522,0.000982374241734145,0.0964790855671116,"Pias2","protein inhibitor of activated STAT 2"
"60","ENSMUSG00000028649",15663.1333411528,0.164684507444033,0.0460362831112738,3.57727636364507,0.00034719304126158,0.0474538663196144,"Macf1","microtubule-actin crosslinking factor 1"
"142","ENSMUSG00000094410",2983.11596017648,0.162406654743157,0.043479719357215,3.73522776007079,0.000187545370643411,0.0316811017359382,"Gm38394","predicted gene, 38394"
"8","ENSMUSG00000004677",6196.5923096735,0.161270972886557,0.0468383644790606,3.44313843321012,0.000575004899230579,0.067570575723496,"Myo9b","myosin IXb"
"27","ENSMUSG00000021540",2553.75126201815,0.1610104903063,0.0453526286539146,3.55019091693601,0.000384951871650383,0.050507180519255,"Smad5","SMAD family member 5"
"39","ENSMUSG00000025060",5135.72729466445,0.144261420535398,0.0418062912900825,3.45071079217258,0.000559112357595602,0.0662793368469032,"Slk","STE20-like kinase"
"100","ENSMUSG00000040850",6616.68864578255,0.122405849532888,0.033099557784341,3.69811132615183,0.00021720962820159,0.0357972062867841,"Psme4","proteasome (prosome, macropain) activator subunit 4"
"34","ENSMUSG00000023004",19444.6590795603,-0.0886727770639421,0.026531595962918,-3.3421576744903,0.000831298242595393,0.0887364772267474,"Tuba1b","tubulin, alpha 1B"
"63","ENSMUSG00000029076",9051.52544229239,-0.140227540479967,0.0413327642640985,-3.39264849512541,0.000692204016246932,0.0773094634343887,"Sdf4","stromal cell derived factor 4"
"62","ENSMUSG00000028788",10350.3536995269,-0.158221066870998,0.0391795681492428,-4.03835658086641,5.38269872039428e-05,0.0139888058668093,"Ptp4a2","protein tyrosine phosphatase 4a2"
"76","ENSMUSG00000034892",9740.26479098867,-0.16598371518755,0.0423492746775753,-3.91939924476302,8.8769961213683e-05,0.019348987997447,"Rps29","ribosomal protein S29"
"72","ENSMUSG00000032249",4056.72026516453,-0.175314226040845,0.0473758145330054,-3.70050051421721,0.000215174643330721,0.0357972062867841,"Anp32a","acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"103","ENSMUSG00000042284",2356.2442945071,-0.185243157788836,0.0543208197308872,-3.41016867393672,0.000649227139710059,0.0743530132715402,"Itga1","integrin alpha 1"
"66","ENSMUSG00000030629",1655.93029502466,-0.202555306840468,0.0559258655541641,-3.62185376718566,0.000292499458654835,0.0421700443849434,"Zfand6","zinc finger, AN1-type domain 6"
"121","ENSMUSG00000057137",2370.32900623824,-0.224155191384269,0.0579839309847061,-3.86581571096641,0.000110718521006748,0.0213750013269313,"Tmem140","transmembrane protein 140"
"48","ENSMUSG00000026687",2161.87652920415,-0.227654360688649,0.0496554669376566,-4.58467868149289,4.54685114747823e-06,0.00204820488023402,"Aldh9a1","aldehyde dehydrogenase 9, subfamily A1"
"26","ENSMUSG00000021245",907.516938842365,-0.234180714756153,0.0636806970330177,-3.67742072035947,0.000235604268006136,0.0372000518946333,"Mlh3","mutL homolog 3"
"21","ENSMUSG00000020009",8331.92000222122,-0.272716197058438,0.0709641191876363,-3.84301531788689,0.000121531880285906,0.0228108587525519,"Ifngr1","interferon gamma receptor 1"
"132","ENSMUSG00000068923",766.341320655596,-0.277784218530046,0.0707588890962746,-3.92578546777484,8.6447178313261e-05,0.0191515929135313,"Syt11","synaptotagmin XI"
"119","ENSMUSG00000055172",2090.59644947381,-0.299761556984957,0.0751122220885855,-3.99084927392276,6.58371134796663e-05,0.0161767773011675,"C1ra","complement component 1, r subcomponent A"
"125","ENSMUSG00000058571",1952.00983083187,-0.32423202058207,0.0865767234969038,-3.74502530802826,0.000180375592039899,0.0308556424155342,"Gpc6","glypican 6"
